record_id,requirement_id,framework,is_anomaly,anomaly_type,severity,explanation
EVD00026,REQ672,SOX,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00027,REQ883,SOX,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00028,REQ266,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00029,REQ859,ISO27001,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00030,REQ272,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 113 days old and not yet approved
EVD00031,REQ854,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 162 days old and not yet approved
EVD00032,REQ520,NIST,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00033,REQ128,GDPR,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00034,REQ474,GDPR,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00035,REQ223,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00036,REQ918,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00037,REQ580,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00038,REQ494,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00039,REQ196,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00040,REQ356,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00041,REQ480,ISO27001,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00042,REQ590,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 168 days old and not yet approved
EVD00043,REQ854,ISO27001,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00044,REQ422,HIPAA,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00045,REQ305,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00046,REQ160,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00047,REQ565,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 101 days old and not yet approved
EVD00048,REQ936,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00049,REQ703,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00050,REQ408,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00051,REQ705,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 124 days old and not yet approved
EVD00052,REQ495,NIST,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00053,REQ786,GDPR,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00054,REQ887,GDPR,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00055,REQ693,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00056,REQ886,HIPAA,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00057,REQ902,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00058,REQ100,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 111 days old and not yet approved
EVD00059,REQ861,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 121 days old and not yet approved
EVD00060,REQ367,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00061,REQ599,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 133 days old and not yet approved
EVD00062,REQ670,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00063,REQ501,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 171 days old and not yet approved
EVD00064,REQ195,ISO27001,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00065,REQ202,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00066,REQ786,NIST,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00067,REQ119,GDPR,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00068,REQ111,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00069,REQ138,GDPR,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00070,REQ368,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 146 days old and not yet approved
EVD00071,REQ601,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 125 days old and not yet approved
EVD00072,REQ286,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00073,REQ907,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00074,REQ639,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 159 days old and not yet approved
EVD00075,REQ165,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 149 days old and not yet approved
EVD00076,REQ755,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00077,REQ360,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 173 days old and not yet approved
EVD00078,REQ203,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00079,REQ589,GDPR,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00080,REQ625,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00081,REQ202,ISO27001,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.61) may not pass audit
EVD00082,REQ855,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00083,REQ286,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00084,REQ380,HIPAA,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00085,REQ537,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00086,REQ422,GDPR,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.62) may not pass audit
EVD00087,REQ591,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00088,REQ692,PCI-DSS,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00089,REQ717,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00090,REQ443,GDPR,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00091,REQ518,HIPAA,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00092,REQ754,ISO27001,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.57) may not pass audit
EVD00093,REQ279,SOX,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00094,REQ465,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 157 days old and not yet approved
EVD00095,REQ735,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00096,REQ365,GDPR,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00097,REQ524,NIST,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00098,REQ666,SOX,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00099,REQ419,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 153 days old and not yet approved
EVD00100,REQ209,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 144 days old and not yet approved
EVD00101,REQ364,GDPR,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.58) may not pass audit
EVD00102,REQ797,NIST,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.57) may not pass audit
EVD00103,REQ269,HIPAA,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00104,REQ228,ISO27001,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00105,REQ462,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00106,REQ310,HIPAA,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00107,REQ903,GDPR,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00108,REQ675,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00109,REQ463,ISO27001,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00110,REQ577,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00111,REQ518,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00112,REQ299,GDPR,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00113,REQ549,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00114,REQ268,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00115,REQ629,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 150 days old and not yet approved
EVD00116,REQ338,HIPAA,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00117,REQ542,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00118,REQ789,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 130 days old and not yet approved
EVD00119,REQ707,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00120,REQ986,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 104 days old and not yet approved
EVD00121,REQ928,SOX,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00122,REQ492,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 99 days old and not yet approved
EVD00123,REQ510,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00124,REQ714,NIST,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00125,REQ577,NIST,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00126,REQ623,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00127,REQ542,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 133 days old and not yet approved
EVD00128,REQ581,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00129,REQ529,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 151 days old and not yet approved
EVD00130,REQ330,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 142 days old and not yet approved
EVD00131,REQ474,SOX,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00132,REQ901,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 96 days old and not yet approved
EVD00133,REQ599,HIPAA,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00134,REQ338,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00135,REQ939,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 107 days old and not yet approved
EVD00136,REQ545,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 177 days old and not yet approved
EVD00137,REQ695,SOX,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.57) may not pass audit
EVD00138,REQ341,PCI-DSS,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00139,REQ854,GDPR,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00140,REQ310,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 104 days old and not yet approved
EVD00141,REQ383,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 125 days old and not yet approved
EVD00142,REQ900,HIPAA,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00143,REQ277,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 108 days old and not yet approved
EVD00144,REQ934,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00145,REQ129,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00146,REQ300,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00147,REQ126,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00148,REQ398,HIPAA,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00149,REQ494,GDPR,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00150,REQ277,HIPAA,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00151,REQ186,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00152,REQ956,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00153,REQ465,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00154,REQ769,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00155,REQ569,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00156,REQ705,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00157,REQ475,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00158,REQ220,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00159,REQ667,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00160,REQ738,HIPAA,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00161,REQ207,ISO27001,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00162,REQ752,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 97 days old and not yet approved
EVD00163,REQ486,GDPR,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00164,REQ784,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00165,REQ538,SOX,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00166,REQ123,GDPR,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.54) may not pass audit
EVD00167,REQ133,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 161 days old and not yet approved
EVD00168,REQ552,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00169,REQ893,SOX,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00170,REQ390,HIPAA,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00171,REQ275,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 146 days old and not yet approved
EVD00172,REQ551,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00173,REQ610,NIST,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.62) may not pass audit
EVD00174,REQ534,PCI-DSS,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.57) may not pass audit
EVD00175,REQ164,PCI-DSS,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00176,REQ110,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 99 days old and not yet approved
EVD00177,REQ238,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 93 days old and not yet approved
EVD00178,REQ614,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 178 days old and not yet approved
EVD00179,REQ521,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 115 days old and not yet approved
EVD00180,REQ722,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 154 days old and not yet approved
EVD00181,REQ966,SOX,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00182,REQ149,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00183,REQ349,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 102 days old and not yet approved
EVD00184,REQ376,HIPAA,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00185,REQ943,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00186,REQ187,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 174 days old and not yet approved
EVD00187,REQ230,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00188,REQ904,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00189,REQ736,HIPAA,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00190,REQ472,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 168 days old and not yet approved
EVD00191,REQ585,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 138 days old and not yet approved
EVD00192,REQ514,ISO27001,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00193,REQ969,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 143 days old and not yet approved
EVD00194,REQ314,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00195,REQ630,HIPAA,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00196,REQ635,NIST,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00197,REQ170,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00198,REQ705,GDPR,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00199,REQ199,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00200,REQ278,NIST,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00201,REQ638,NIST,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.56) may not pass audit
EVD00202,REQ264,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00203,REQ325,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 158 days old and not yet approved
EVD00204,REQ480,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 144 days old and not yet approved
EVD00205,REQ471,PCI-DSS,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00206,REQ158,HIPAA,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00207,REQ818,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00208,REQ219,ISO27001,True,STALE_EVIDENCE,HIGH,Evidence is 130 days old and not yet approved
EVD00209,REQ417,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00210,REQ455,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 127 days old and not yet approved
EVD00211,REQ156,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 154 days old and not yet approved
EVD00212,REQ384,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 133 days old and not yet approved
EVD00213,REQ828,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00214,REQ949,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 92 days old and not yet approved
EVD00215,REQ398,PCI-DSS,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00216,REQ477,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 129 days old and not yet approved
EVD00217,REQ891,ISO27001,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.61) may not pass audit
EVD00218,REQ810,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00219,REQ139,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 108 days old and not yet approved
EVD00220,REQ343,GDPR,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00221,REQ686,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 152 days old and not yet approved
EVD00222,REQ114,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 104 days old and not yet approved
EVD00223,REQ425,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence too old; may not satisfy auditor freshness requirements
EVD00224,REQ633,PCI-DSS,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00225,REQ400,HIPAA,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00226,REQ920,PCI-DSS,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00227,REQ839,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 128 days old and not yet approved
EVD00228,REQ581,PCI-DSS,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00229,REQ353,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 123 days old and not yet approved
EVD00230,REQ446,SOX,True,STALE_EVIDENCE,HIGH,Evidence is 166 days old and not yet approved
EVD00231,REQ107,GDPR,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00232,REQ855,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 179 days old and not yet approved
EVD00233,REQ474,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 105 days old and not yet approved
EVD00234,REQ432,ISO27001,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00235,REQ207,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00236,REQ274,NIST,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00237,REQ213,NIST,True,STALE_EVIDENCE,HIGH,Evidence is 151 days old and not yet approved
EVD00238,REQ833,PCI-DSS,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.59) may not pass audit
EVD00239,REQ338,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00240,REQ612,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 127 days old and not yet approved
EVD00241,REQ413,ISO27001,True,UNREVIEWED_EVIDENCE,MEDIUM,Evidence collected but never reviewed/approved
EVD00242,REQ283,ISO27001,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00243,REQ928,SOX,True,COMPLIANCE_GAP,CRITICAL,Direct compliance gap identified - no evidence for requirement
EVD00244,REQ894,ISO27001,True,INCOMPLETE_CONTROL_MAPPING,MEDIUM,Evidence does not fully map to control requirements
EVD00245,REQ238,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00246,REQ632,PCI-DSS,True,STALE_EVIDENCE,HIGH,Evidence is 109 days old and not yet approved
EVD00247,REQ857,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00248,REQ384,HIPAA,True,MISSING_DOCUMENTATION,HIGH,Required documentation missing from evidence record
EVD00249,REQ964,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00250,REQ108,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00251,REQ351,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00252,REQ771,PCI-DSS,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00253,REQ278,NIST,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00254,REQ619,SOX,True,REJECTED_EVIDENCE,HIGH,Evidence was reviewed and rejected by approver
EVD00255,REQ403,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00256,REQ878,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00257,REQ909,SOX,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00258,REQ450,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00259,REQ981,HIPAA,True,STALE_EVIDENCE,HIGH,Evidence is 91 days old and not yet approved
EVD00260,REQ358,GDPR,True,STALE_EVIDENCE,HIGH,Evidence is 123 days old and not yet approved
EVD00261,REQ649,PCI-DSS,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
EVD00262,REQ647,GDPR,True,LOW_CONFIDENCE_EVIDENCE,MEDIUM,Low confidence score (0.63) may not pass audit
EVD00263,REQ506,NIST,False,COMPLIANT,NONE,Evidence meets freshness and review requirements
