record_id,control_name,is_anomaly,anomaly_type,severity,explanation
DRF00971,Control-16,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00960,Control-50,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00663,Control-30,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00573,Control-65,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00822,Control-84,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00729,Control-23,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00946,Control-57,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00749,Control-39,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00853,Control-78,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00838,Control-51,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00543,Control-56,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00778,Control-93,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00720,Control-62,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00913,Control-65,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00834,Control-2,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00963,Control-62,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00716,Control-79,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00902,Control-71,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00620,Control-47,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00747,Control-70,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00784,Control-82,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00713,Control-26,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00692,Control-48,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00939,Control-92,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00870,Control-87,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00927,Control-62,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00805,Control-36,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00935,Control-38,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00790,Control-35,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00958,Control-72,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00642,Control-72,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00676,Control-57,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00643,Control-89,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00685,Control-89,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00703,Control-1,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00820,Control-54,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00969,Control-59,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00823,Control-43,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00681,Control-97,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00722,Control-51,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00854,Control-90,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00830,Control-5,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00764,Control-16,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00514,Control-28,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00566,Control-13,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00708,Control-57,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00677,Control-85,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00931,Control-69,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00511,Control-23,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00655,Control-26,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00917,Control-47,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00505,Control-58,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00697,Control-78,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00723,Control-80,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00733,Control-90,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00707,Control-13,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00993,Control-42,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00814,Control-54,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00646,Control-80,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00683,Control-25,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00617,Control-53,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00567,Control-30,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00859,Control-20,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00690,Control-2,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00619,Control-42,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00531,Control-43,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00850,Control-24,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00518,Control-95,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00880,Control-68,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00568,Control-38,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00687,Control-12,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00545,Control-37,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00626,Control-97,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00979,Control-3,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00904,Control-39,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00980,Control-64,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00783,Control-40,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00951,Control-61,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00865,Control-80,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00706,Control-11,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00930,Control-67,True,HIGH_SEVERITY_DRIFT,HIGH,High severity control drifted from baseline
DRF00582,Control-68,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00885,Control-16,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00842,Control-82,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00651,Control-13,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00841,Control-51,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00625,Control-92,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00771,Control-44,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00972,Control-80,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00840,Control-86,True,HIGH_SEVERITY_DRIFT,HIGH,High severity control drifted from baseline
DRF00604,Control-76,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00844,Control-21,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00769,Control-82,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00932,Control-99,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00593,Control-92,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00813,Control-85,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00945,Control-71,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00868,Control-14,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00748,Control-69,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00579,Control-81,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00732,Control-78,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00909,Control-20,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00589,Control-18,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00750,Control-63,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00710,Control-30,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00538,Control-23,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00886,Control-48,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00644,Control-54,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00575,Control-51,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00541,Control-71,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00657,Control-94,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00896,Control-88,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00702,Control-14,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00893,Control-1,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00957,Control-72,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00553,Control-14,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00857,Control-47,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00670,Control-50,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00565,Control-89,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00668,Control-97,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00992,Control-67,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00785,Control-27,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00781,Control-5,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00767,Control-40,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00787,Control-61,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00768,Control-93,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00995,Control-7,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00966,Control-49,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00558,Control-79,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00776,Control-32,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00516,Control-97,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00867,Control-63,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00671,Control-42,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00731,Control-67,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00563,Control-62,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00938,Control-41,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00905,Control-33,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00967,Control-35,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00664,Control-4,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00888,Control-38,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00883,Control-86,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00777,Control-72,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00607,Control-40,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00606,Control-76,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00623,Control-19,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00525,Control-48,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00641,Control-8,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00982,Control-35,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00981,Control-40,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00926,Control-75,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00990,Control-92,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00874,Control-67,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00860,Control-58,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00976,Control-61,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00539,Control-39,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00549,Control-80,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00576,Control-8,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00826,Control-45,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00695,Control-99,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00523,Control-46,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00983,Control-47,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00630,Control-2,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00569,Control-92,True,HIGH_SEVERITY_DRIFT,HIGH,High severity control drifted from baseline
DRF00907,Control-12,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00611,Control-10,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00596,Control-98,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00827,Control-29,True,HIGH_SEVERITY_DRIFT,CRITICAL,Critical severity control drifted from baseline
DRF00691,Control-33,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00736,Control-17,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00766,Control-85,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00595,Control-25,True,HIGH_SEVERITY_DRIFT,HIGH,High severity control drifted from baseline
DRF00765,Control-47,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00921,Control-77,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00752,Control-3,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00557,Control-13,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00871,Control-22,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00701,Control-30,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00742,Control-38,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00598,Control-75,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00621,Control-65,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00524,Control-78,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00961,Control-88,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00897,Control-36,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00570,Control-52,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00753,Control-21,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00547,Control-53,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00845,Control-87,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00770,Control-41,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00594,Control-60,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00744,Control-64,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00588,Control-3,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00737,Control-60,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00601,Control-1,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00712,Control-91,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00900,Control-40,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00536,Control-77,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00751,Control-53,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00665,Control-48,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00704,Control-25,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00758,Control-11,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00546,Control-16,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00968,Control-42,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00666,Control-21,True,COMPLIANCE_VIOLATION,HIGH,Security-critical config drift: Compliance Violation
DRF00811,Control-70,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00912,Control-10,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00839,Control-4,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00793,Control-70,True,UNAPPROVED_CHANGE,MEDIUM,Policy violation: Unapproved Change
DRF00762,Control-30,False,NORMAL_CHANGE,NONE,Authorized change within baseline parameters
DRF00940,Control-13,True,ENCRYPTION_DOWNGRADE,CRITICAL,Security-critical config drift: Encryption Downgrade
DRF00627,Control-25,True,LOGGING_DISABLED,CRITICAL,Security-critical config drift: Logging Disabled
DRF00812,Control-11,True,EMERGENCY_CHANGE_NOT_REVERTED,MEDIUM,Policy violation: Emergency Change Not Reverted
DRF00817,Control-23,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
DRF00564,Control-16,True,ACCESS_BROADENED,HIGH,Security-critical config drift: Access Broadened
