record_id,user_id,username,is_anomaly,anomaly_type,severity,explanation
27,USR00270,robert.ramirez,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-05-19 20:19:00
28,USR00111,james.sharma,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-05-19 23:19:00
29,USR00049,thomas.kang,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-05-20 09:52:00
30,USR00252,nadia.singh,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-05-21 14:25:00
31,USR00200,joseph.guo,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-05-22 10:46:00
32,USR00183,kenneth.johnson,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-05-24 18:49:00
33,USR00197,kevin.white,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-05-26 17:27:00
34,USR00242,deepika.garcia,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-05-27 07:15:00
35,USR00188,meera.schmidt,False,NORMAL,NONE,Normal access event within expected pattern
36,USR00213,riya.colombo,False,NORMAL,NONE,Normal access event within expected pattern
37,USR00200,joseph.guo,False,NORMAL,NONE,Normal access event within expected pattern
38,USR00221,rajesh.smith,False,NORMAL,NONE,Normal access event within expected pattern
39,USR00166,amara.smith,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-06-03 06:40:00
40,USR00231,rajesh.pillai,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-06-03 09:48:00
41,USR00294,kenneth.colombo,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-06-04 12:02:00
42,USR00104,jeffrey.ghosh,False,NORMAL,NONE,Normal access event within expected pattern
43,USR00078,christopher.menon,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-06-05 17:43:00
44,USR00166,amara.smith,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-06-05 20:54:00
45,USR00060,vikram.gonzalez,False,NORMAL,NONE,Normal access event within expected pattern
46,USR00004,diya.anderson,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-06-08 04:12:00
47,USR00173,christopher.meyer,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-06-09 10:45:00
48,USR00105,gary.murphy,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-06-09 23:49:00
49,USR00297,sofia.schmidt,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-06-10 11:37:00
50,USR00241,amitabh.harris,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-06-10 15:32:00
51,USR00281,nikhil.verma,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-06-11 07:32:00
52,USR00120,david.sullivan,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-06-12 12:56:00
53,USR00008,thomas.iyer,False,NORMAL,NONE,Normal access event within expected pattern
54,USR00037,ronald.wilson,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-06-15 06:24:00
55,USR00076,stephen.guo,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-06-15 15:08:00
56,USR00108,xiulan.romano,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-06-16 21:48:00
57,USR00045,stephen.kumar,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-06-17 06:53:00
58,USR00176,nisha.sharma,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-06-17 23:05:00
59,USR00002,kenneth.moore,False,NORMAL,NONE,Normal access event within expected pattern
60,USR00214,ryan.sanchez,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-06-19 21:23:00
61,USR00176,nisha.sharma,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-06-20 00:50:00
62,USR00289,rajesh.jang,False,NORMAL,NONE,Normal access event within expected pattern
63,USR00106,sanjana.quinn,False,NORMAL,NONE,Normal access event within expected pattern
64,USR00269,priya.lim,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-06-26 07:43:00
65,USR00210,charles.lopez,False,NORMAL,NONE,Normal access event within expected pattern
66,USR00088,william.jang,False,NORMAL,NONE,Normal access event within expected pattern
67,USR00036,nicholas.harris,False,NORMAL,NONE,Normal access event within expected pattern
68,USR00092,charles.sullivan,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-06-29 14:32:00
69,USR00135,pooja.murphy,False,NORMAL,NONE,Normal access event within expected pattern
70,USR00148,mark.hwang,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-07-03 17:38:00
71,USR00091,steven.thompson,False,NORMAL,NONE,Normal access event within expected pattern
72,USR00299,leila.lee,False,NORMAL,NONE,Normal access event within expected pattern
73,USR00273,rohan.bianchi,False,NORMAL,NONE,Normal access event within expected pattern
74,USR00295,james.sun,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-07-06 02:37:00
75,USR00117,richard.kelly,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-07-06 08:32:00
76,USR00087,aditya.taylor,False,NORMAL,NONE,Normal access event within expected pattern
77,USR00267,jeffrey.ramirez,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-07-08 04:38:00
78,USR00249,james.muller,False,NORMAL,NONE,Normal access event within expected pattern
79,USR00047,george.clark,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-07-08 14:52:00
80,USR00083,ryan.thomas,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-07-09 22:35:00
81,USR00261,nikhil.thomas,False,NORMAL,NONE,Normal access event within expected pattern
82,USR00266,robert.thomas,False,NORMAL,NONE,Normal access event within expected pattern
83,USR00181,george.smith,False,NORMAL,NONE,Normal access event within expected pattern
84,USR00221,rajesh.smith,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-07-14 19:41:00
85,USR00044,pooja.mishra,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-07-15 17:05:00
86,USR00294,kenneth.colombo,False,NORMAL,NONE,Normal access event within expected pattern
87,USR00206,fatima.gupta,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-07-19 00:53:00
88,USR00013,jonathan.jackson,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-07-19 05:55:00
89,USR00260,sofia.lewis,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-07-19 07:15:00
90,USR00181,george.smith,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-07-19 09:38:00
91,USR00189,meera.rizzo,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-07-19 10:58:00
92,USR00046,deepika.li,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-07-20 05:04:00
93,USR00274,joseph.reilly,False,NORMAL,NONE,Normal access event within expected pattern
94,USR00233,ronald.reddy,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-07-23 22:28:00
95,USR00051,meera.quinn,False,NORMAL,NONE,Normal access event within expected pattern
96,USR00249,james.muller,False,NORMAL,NONE,Normal access event within expected pattern
97,USR00058,anthony.taylor,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-07-24 13:57:00
98,USR00278,sofia.martin,False,NORMAL,NONE,Normal access event within expected pattern
99,USR00167,michael.kelly,False,NORMAL,NONE,Normal access event within expected pattern
100,USR00011,maria.o'brien,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-07-29 00:55:00
101,USR00078,christopher.menon,False,NORMAL,NONE,Normal access event within expected pattern
102,USR00037,ronald.wilson,False,NORMAL,NONE,Normal access event within expected pattern
103,USR00133,fatima.patel,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-08-01 23:48:00
104,USR00057,zainab.jo,False,NORMAL,NONE,Normal access event within expected pattern
105,USR00174,pooja.romano,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-08-03 15:46:00
106,USR00286,ronald.lee,False,NORMAL,NONE,Normal access event within expected pattern
107,USR00147,anthony.davis,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-08-03 21:10:00
108,USR00017,diya.schulz,False,NORMAL,NONE,Normal access event within expected pattern
109,USR00059,thomas.lewis,False,NORMAL,NONE,Normal access event within expected pattern
110,USR00194,varun.taylor,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-08-06 17:02:00
111,USR00252,nadia.singh,False,NORMAL,NONE,Normal access event within expected pattern
112,USR00080,david.rodriguez,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-08-08 10:58:00
113,USR00130,jeffrey.garcia,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-08-09 08:06:00
114,USR00004,diya.anderson,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-08-09 08:42:00
115,USR00066,ronald.martin,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-08-09 16:28:00
116,USR00009,aditya.burke,False,NORMAL,NONE,Normal access event within expected pattern
117,USR00142,harsh.bernard,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-08-12 03:42:00
118,USR00046,deepika.li,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-08-13 09:42:00
119,USR00254,james.kumar,False,NORMAL,NONE,Normal access event within expected pattern
120,USR00042,kenneth.sanchez,False,NORMAL,NONE,Normal access event within expected pattern
121,USR00134,richard.li,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-08-16 19:55:00
122,USR00164,anjali.sun,False,NORMAL,NONE,Normal access event within expected pattern
123,USR00157,shruti.rossi,False,NORMAL,NONE,Normal access event within expected pattern
124,USR00201,daniel.jackson,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-08-21 08:12:00
125,USR00001,daniel.singh,False,NORMAL,NONE,Normal access event within expected pattern
126,USR00264,elena.johnson,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-08-21 16:18:00
127,USR00259,anthony.verma,False,NORMAL,NONE,Normal access event within expected pattern
128,USR00148,mark.hwang,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-08-22 13:28:00
129,USR00176,nisha.sharma,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-08-23 06:06:00
130,USR00288,arjun.dubois,False,NORMAL,NONE,Normal access event within expected pattern
131,USR00236,harsh.connor,False,NORMAL,NONE,Normal access event within expected pattern
132,USR00143,maria.gonzalez,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-08-25 05:47:00
133,USR00019,joshua.white,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-08-25 15:06:00
134,USR00158,arjun.sanchez,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-08-25 20:59:00
135,USR00277,nicholas.schulz,False,NORMAL,NONE,Normal access event within expected pattern
136,USR00101,paul.hoffmann,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-08-27 22:12:00
137,USR00159,fatima.lee,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-08-28 06:36:00
138,USR00027,pooja.sullivan,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-08-28 15:51:00
139,USR00088,william.jang,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-08-29 11:35:00
140,USR00222,jason.rizzo,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-08-30 06:07:00
141,USR00091,steven.thompson,False,NORMAL,NONE,Normal access event within expected pattern
142,USR00024,nicholas.jackson,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-02 09:47:00
143,USR00002,kenneth.moore,False,NORMAL,NONE,Normal access event within expected pattern
144,USR00218,zainab.garcia,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-09-05 08:11:00
145,USR00279,nadia.reilly,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-09-05 16:35:00
146,USR00177,timothy.mishra,False,NORMAL,NONE,Normal access event within expected pattern
147,USR00218,zainab.garcia,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-07 13:32:00
148,USR00283,thomas.meyer,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-09-08 19:34:00
149,USR00207,joseph.young,False,NORMAL,NONE,Normal access event within expected pattern
150,USR00160,kevin.rao,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-09-09 05:16:00
151,USR00209,nikhil.martinez,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-09-10 00:42:00
152,USR00209,nikhil.martinez,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-09-11 05:14:00
153,USR00239,kevin.xu,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-09-11 12:26:00
154,USR00216,gary.lee,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-09-12 22:41:00
155,USR00061,sophia.hernandez,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-09-14 02:48:00
156,USR00278,sofia.martin,False,NORMAL,NONE,Normal access event within expected pattern
157,USR00203,zainab.moore,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-09-14 22:07:00
158,USR00068,robert.patel,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-09-15 07:11:00
159,USR00059,thomas.lewis,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-16 11:30:00
160,USR00134,richard.li,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-09-17 09:18:00
161,USR00197,kevin.white,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-09-17 13:47:00
162,USR00092,charles.sullivan,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-09-18 08:27:00
163,USR00172,anjali.jo,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-09-19 11:28:00
164,USR00158,arjun.sanchez,False,NORMAL,NONE,Normal access event within expected pattern
165,USR00112,ryan.rao,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-09-19 15:03:00
166,USR00151,priya.white,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-09-19 21:43:00
167,USR00024,nicholas.jackson,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-20 08:04:00
168,USR00127,amitabh.davis,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-09-21 11:02:00
169,USR00196,anjali.jackson,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-09-22 07:30:00
170,USR00126,mark.patel,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-09-23 19:17:00
171,USR00151,priya.white,False,NORMAL,NONE,Normal access event within expected pattern
172,USR00261,nikhil.thomas,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-24 01:23:00
173,USR00166,amara.smith,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-24 15:49:00
174,USR00005,george.lim,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-09-25 03:53:00
175,USR00153,edward.rizzo,False,NORMAL,NONE,Normal access event within expected pattern
176,USR00051,meera.quinn,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-09-26 06:42:00
177,USR00104,jeffrey.ghosh,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-29 20:34:00
178,USR00188,meera.schmidt,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-09-29 21:16:00
179,USR00092,charles.sullivan,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-09-30 13:06:00
180,USR00051,meera.quinn,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-10-02 12:28:00
181,USR00183,kenneth.johnson,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-10-05 00:11:00
182,USR00233,ronald.reddy,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-10-05 09:02:00
183,USR00047,george.clark,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-10-05 13:11:00
184,USR00110,joshua.bhat,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-10-05 13:57:00
185,USR00045,stephen.kumar,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-10-06 21:00:00
186,USR00007,robert.smith,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-10-07 05:23:00
187,USR00140,riya.lim,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-10-07 13:26:00
188,USR00214,ryan.sanchez,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-10-08 21:50:00
189,USR00294,kenneth.colombo,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-10-09 04:34:00
190,USR00032,pooja.martin,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-10-09 20:45:00
191,USR00226,ronald.esposito,False,NORMAL,NONE,Normal access event within expected pattern
192,USR00189,meera.rizzo,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-10-14 08:23:00
193,USR00260,sofia.lewis,False,NORMAL,NONE,Normal access event within expected pattern
194,USR00159,fatima.lee,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-10-15 02:55:00
195,USR00056,william.kumar,False,NORMAL,NONE,Normal access event within expected pattern
196,USR00060,vikram.gonzalez,False,NORMAL,NONE,Normal access event within expected pattern
197,USR00082,arjun.hwang,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-10-19 00:48:00
198,USR00101,paul.hoffmann,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-10-19 08:42:00
199,USR00170,sophia.smith,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-10-19 19:06:00
200,USR00037,ronald.wilson,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-10-20 16:11:00
201,USR00084,aditya.gupta,False,NORMAL,NONE,Normal access event within expected pattern
202,USR00159,fatima.lee,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-10-22 18:52:00
203,USR00122,nisha.li,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-10-23 22:56:00
204,USR00007,robert.smith,False,NORMAL,NONE,Normal access event within expected pattern
205,USR00244,stephen.iyer,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-10-24 15:30:00
206,USR00185,anthony.thompson,True,CROSS_DEPARTMENT_ACCESS,MEDIUM,Event flagged: Cross Department Access detected at 2025-10-24 17:59:00
207,USR00212,david.liu,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-10-25 10:09:00
208,USR00124,david.russo,False,NORMAL,NONE,Normal access event within expected pattern
209,USR00288,arjun.dubois,False,NORMAL,NONE,Normal access event within expected pattern
210,USR00236,harsh.connor,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-10-30 10:40:00
211,USR00152,diya.ghosh,False,NORMAL,NONE,Normal access event within expected pattern
212,USR00171,xiulan.schulz,False,NORMAL,NONE,Normal access event within expected pattern
213,USR00207,joseph.young,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-11-02 03:14:00
214,USR00035,nikhil.rao,False,NORMAL,NONE,Normal access event within expected pattern
215,USR00013,jonathan.jackson,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-11-05 18:17:00
216,USR00292,edward.esposito,True,UNUSUAL_RESOURCE_ACCESS,MEDIUM,Event flagged: Unusual Resource Access detected at 2025-11-08 02:16:00
217,USR00036,nicholas.harris,True,BULK_DATA_EXPORT,CRITICAL,Event flagged: Bulk Data Export detected at 2025-11-09 00:15:00
218,USR00221,rajesh.smith,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-11-09 02:26:00
219,USR00148,mark.hwang,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-11-09 03:36:00
220,USR00251,jonathan.robinson,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-11-09 20:40:00
221,USR00062,nisha.jones,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-11-11 05:55:00
222,USR00024,nicholas.jackson,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-11-11 11:44:00
223,USR00011,maria.o'brien,True,REPEATED_FAILED_AUTH,HIGH,Event flagged: Repeated Failed Auth detected at 2025-11-12 08:16:00
224,USR00296,joseph.taylor,False,NORMAL,NONE,Normal access event within expected pattern
225,USR00258,meera.reddy,True,STALE_ACCOUNT_ACCESS,HIGH,Event flagged: Stale Account Access detected at 2025-11-15 11:11:00
226,USR00026,stephen.bhat,True,OFF_HOURS_ADMIN_OPERATION,HIGH,Event flagged: Off Hours Admin Operation detected at 2025-11-17 10:56:00
227,USR00259,anthony.verma,True,AFTER_HOURS_ACCESS,MEDIUM,Event flagged: After Hours Access detected at 2025-11-17 17:53:00
